Material,Time lapse,Second Derivative
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
38-0669-03,0.0,
